id,nome,data_nascimento,cpf,cep,cidade,sigla_uf,pais,sexo,telefone,email,data_cadastro
7f2d9cc3-1ac5-4687-ad37-a98fd1fc0c4b,Vitor Hugo Correia,1977-01-22,177.575.183-37,81593-028,Nunes do Oeste,AC,Brasil,M,+55 (021) 0708 5769,17757518337@example.com.br,2024-11-02
68f417f9-2f42-4de9-9cf1-f6c5c84e5d2a,Yuri Oliveira,2005-08-28,951.387.630-50,11758-423,Andrade,SP,Brasil,F,+55 (011) 7836 1959,95138763050@example.com.br,2024-12-30
6d0a0ec3-ba5a-436d-8f4f-832d36bc28ec,Cauã Duarte,1932-01-12,812.115.986-37,73927728,Brito das Pedras,AP,Brasil,F,(081) 7287-4394,81211598637@example.com.br,2026-03-04
6668e3f5-beef-472f-ba06-6da48ca53ce6,Kevin Alves,1974-11-29,098.804.569-07,97791-021,Oliveira,TO,Brasil,M,+55 (011) 6856 7140,09880456907@example.com.br,2025-06-25
411f361e-d890-48f2-a89b-aeaedaac6a4a,Sra. Gabriela Albuquerque,1990-08-16,838.391.053-29,16240-779,Ribeiro de Vasconcelos,MG,Brasil,M,+55 51 1917 4702,83839105329@example.com.br,2025-03-28
29a2cac0-d3ac-44f2-bc72-c03c05811108,Ana Luiza Gonçalves,1965-03-18,192.338.088-68,30895-813,Siqueira,RN,Brasil,M,+55 31 5771-9631,19233808868@example.com.br,2025-06-20
a22f8436-4e45-4078-97c4-bcf69c6c01f3,Evelyn Souza,1984-10-29,854.250.863-90,69216-578,da Conceição,AM,Brasil,M,+55 (061) 7344 2827,85425086390@example.com.br,2025-09-15
32038cb4-8947-4c8d-a059-e591fcdcd2dc,Eduardo Sousa,2004-01-13,637.316.445-05,76036-951,Oliveira da Serra,ES,Brasil,M,+55 61 1859-4538,63731644505@example.com.br,2026-02-08
b983ee46-5d06-4610-a111-ab702bce7d9d,Luiz Felipe Farias,1986-10-20,633.670.302-50,34036-617,Martins,AM,Brasil,F,(084) 6121 7193,63367030250@example.com.br,2026-03-14
a7e3745c-0f42-495a-aa46-dc29c41d6deb,Fernanda da Cunha,2007-12-02,060.734.377-67,76997-307,Rocha,PE,Brasil,M,51 4258 6974,06073437767@example.com.br,2025-06-15
10ff3c8f-2696-4c19-8822-879cb1d5941d,Dra. Melina Farias,2005-12-16,904.954.291-48,93747860,Farias,RJ,Brasil,M,(041) 4162 7585,90495429148@example.com.br,2025-07-28
8716a1ee-ad5c-401e-a9cf-12a59ec2f4f4,Kaique da Cruz,1974-02-12,766.695.880-31,70253-481,Pacheco,TO,Brasil,M,(051) 5504 4011,76669588031@example.com.br,2025-12-15
9e50d286-a3d4-4e88-bbf8-eb372c6c7f2c,Carlos Eduardo Casa Grande,1982-01-08,181.167.060-52,63898309,Campos das Pedras,MS,Brasil,M,+55 (084) 7165 7289,18116706052@example.com.br,2024-08-28
f91b0f8e-765e-4817-8abe-40e87187e7ee,Bernardo Sá,2004-03-05,887.763.642-83,30110467,Brito Alegre,RJ,Brasil,F,+55 84 6150-7737,88776364283@example.com.br,2025-06-07
7e158615-2a14-4ca2-a5dd-b41c09792127,Sabrina Melo,2001-04-12,714.324.389-13,54989-712,Moraes do Norte,RR,Brasil,M,+55 81 1632-5937,71432438913@example.com.br,2025-10-16
e675bb14-91b2-435d-b18d-43685a553157,Emanuella Novais,1944-04-29,098.729.138-10,19779-093,Fonseca,TO,Brasil,M,(041) 0665 7254,09872913810@example.com.br,2025-06-19
986dcb99-f133-42bc-82dc-e847ab7f8b00,Vicente Aparecida,1948-04-18,931.142.931-94,18926-679,Duarte,SE,Brasil,M,+55 (011) 5312 8500,93114293194@example.com.br,2025-01-21
